s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	tag	task	sample	cpus_per_task	snake_thread
3576.3147	0:59:36	5980.5	13713.46	2718.3	3469.16	22793.76	60.52	129.45	4629.71	a7	m6anet_dataprep	s2	32	4
5661.1254	1:34:21	6164.79	13994.99	2728.6	3538.79	79606.48	122.78	131.02	7417.25	b7	m6anet_dataprep	s2	32	4
6447.7772	1:47:27	6334.81	14032.31	2407.68	3318.51	78395.94	125.29	125.74	8107.03	b8	m6anet_dataprep	s2	16	4
6807.6233	1:53:27	6400.92	14132.74	2859.81	3622.54	80245.41	126.29	122.76	8349.81	b9	m6anet_dataprep	s2	8	4
7652.8985	2:07:32	7074.96	14662.75	3071.1	3975.73	64186.36	128.1	126.5	9681.9	b0	m6anet_dataprep	s2	4	4
13217.6801	3:40:17	6800.78	14540.05	3309.29	4140.36	159581.1	282.45	121.03	15999.62	c9	m6anet_dataprep	s2	8	4
13461.8029	3:44:21	6634.23	14394.14	3483.41	4195.67	158789.74	286.86	124.28	16732.47	c8	m6anet_dataprep	s2	16	4
14199.2692	3:56:39	6774.59	14573.13	4071.32	4713.6	159734.16	283.29	127.18	18060.19	c7	m6anet_dataprep	s2	32	4
15446.9593	4:17:26	7013.43	14773.16	3850.05	4554.83	158865.13	290.98	122.83	18952.43	c0	m6anet_dataprep	s2	4	4
34788.8143	9:39:48	6864.26	14616.71	3225.2	4044.92	397980.98	860.84	127.18	44248.5	d7	m6anet_dataprep	s2	32	4
32220.2517	8:57:00	6791.37	14615.55	3166.02	3979	397281.79	889.82	129.58	41755.68	d8	m6anet_dataprep	s2	16	4
37149.5185	10:19:09	6804.11	14624.54	3682.9	4354.54	396351.81	883.16	124.58	46283.94	d9	m6anet_dataprep	s2	8	4
35486.4063	9:51:26	7336.14	15143.48	3756.28	4550.19	382309.99	903.51	131.53	46676.91	d0	m6anet_dataprep	s2	4	4
2621.2338	0:43:41	13765.68	27624.56	4801.29	6004.48	34669.79	60.06	125.7	3295.97	a3	m6anet_dataprep	s2	32	8
2966.2594	0:49:26	13272.54	27417.71	4935.12	6114.28	802.62	59.96	134.52	3972.07	a5	m6anet_dataprep	s2	16	8
3669.5408	1:01:09	12985.36	27126.48	3273.59	4531.94	9521.36	64.52	127.11	4664.43	a6	m6anet_dataprep	s2	8	8
7452.0291	2:04:12	13908.2	27957.62	4115.59	5454.95	80262.71	122.7	121.78	9061.32	b3	m6anet_dataprep	s2	32	8
8385.2494	2:19:45	12927.25	26625.35	3655.71	4833.7	76953.56	126.53	118.73	9936.05	b5	m6anet_dataprep	s2	16	8
8400.3378	2:20:00	13957.91	27874.43	4103.13	5374.95	66271.32	133.08	118.21	9905.5	b6	m6anet_dataprep	s2	8	8
14255.3018	3:57:35	13279.61	27445.77	4642.68	5846.29	159598.93	281.41	128.39	18305.39	c3	m6anet_dataprep	s2	32	8
12201.0528	3:23:21	14822.29	28704.66	5289.72	6522.76	160302.59	283.54	129.68	15812.28	c5	m6anet_dataprep	s2	16	8
15564.1669	4:19:24	13421.24	27604.32	5174.12	6210.14	154842.64	288.54	125.65	19555.2	c6	m6anet_dataprep	s2	8	8
34646.3422	9:37:26	16683.57	30791.74	6851.93	8106.76	410870.49	857.94	129.39	44808.31	d3	m6anet_dataprep	s2	32	8
34345.473	9:32:25	15559.24	29720.01	5170.86	6470.82	413017.29	859.54	127.06	43638.76	d5	m6anet_dataprep	s2	16	8
32623.9733	9:03:43	16165.44	29981.31	6224.79	7365.77	396249.09	859.39	125.21	40845.41	d6	m6anet_dataprep	s2	8	8
3379.9908	0:56:19	34590.01	61446.5	7263.6	9120.89	4846.39	61.52	131.12	4426.62	a2	m6anet_dataprep	s2	32	16
3848.952	1:04:08	34968.34	60994.16	4984.83	6773.84	22057.54	63.6	126.96	4842.72	a4	m6anet_dataprep	s2	16	16
7238.048	2:00:38	35900.8	61773.12	7394.87	9355.69	66778.06	122.41	123.96	8971.97	b2	m6anet_dataprep	s2	32	16
5915.9117	1:38:35	34068.8	60264.19	6579.43	8425.52	46705.06	122.02	135.75	8010.54	b4	m6anet_dataprep	s2	16	16
11564.0795	3:12:44	35783.46	62627.67	8917.51	10824.2	159605.17	280.75	125.3	14465.64	c2	m6anet_dataprep	s2	32	16
10423.5707	2:53:43	35058.13	62028.79	8825.25	10692.85	142848.55	279.59	121.1	12589.76	c4	m6anet_dataprep	s2	16	16
34390.3499	9:33:10	39534.17	65535.23	10036.7	11909.77	422868.23	858.17	130.28	44795.24	d2	m6anet_dataprep	s2	32	16
62285.4775	17:18:05	39531.88	66408.38	14417.44	16101.56	397061.27	856.99	52.67	32789.01	d4	m6anet_dataprep	s2	16	16
3021.7251	0:50:21	81982.77	133042.88	8475.24	10880.83	17704.11	63.52	117.26	3511.24	a1	m6anet_dataprep	s2	32	32
6751.3137	1:52:31	90763.16	143053.38	10550.07	13238.7	38282.38	122.18	132.84	8912.28	b1	m6anet_dataprep	s2	32	32
14253.8493	3:57:33	100304.27	152165.66	16131.28	19085.48	145325.29	281.3	127.05	18113.41	c1	m6anet_dataprep	s2	32	32
34494.3281	9:34:54	109780.51	160189.03	22373.71	25407.83	387664.7	862.92	128.18	44175.72	d1	m6anet_dataprep	s2	32	32
23.7502	0:00:23	772.77	9559.28	145.46	269.74	14.81	28.01	173.17	41.99	b8	m6anet_inference	deac	16	4
32.6774	0:00:32	742.79	9486.55	189.15	297.7	209.59	16	92.9	31.36	b0	m6anet_inference	deac	4	4
40.4955	0:00:40	763.35	9558.56	221.54	321.25	302.53	16	63.88	26.1	b9	m6anet_inference	deac	8	4
48.8929	0:00:48	746.32	9556.03	129.93	238.15	82.24	4	8.97	5.76	a9	m6anet_inference	deac	8	4
50.739	0:00:50	745.94	9555.04	128.05	242.24	49.43	8.01	27.21	14.41	b7	m6anet_inference	deac	32	4
51.4188	0:00:51	761.16	9551.22	146	280.93	147.21	16	48.03	25.41	a8	m6anet_inference	deac	16	4
52.9803	0:00:52	715.71	9473.32	183.2	282.12	1.53	16.01	39.52	22.2	a0	m6anet_inference	deac	4	4
